project_id,start_date,end_date,name,price_per_hour,project_name
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,Palmer Jordan,159.08,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,Finley Jensen,159.08,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,,159.08,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,Kendall Davies,159.08,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,,125.28,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,Riley Lambert,125.28,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,,125.28,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,,125.28,[HDB] Continuation and finalization of MES implementation
10800579,2024-01-01 00:00:00,2024-12-31 00:00:00,,159.08,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,Palmer Jordan,147.94,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,Finley Jensen,147.94,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,,147.94,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,Kendall Davies,147.94,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,,116.51,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,Riley Lambert,116.51,[HDB] Continuation and finalization of MES implementation
10800579,2025-01-01 00:00:00,2025-12-31 00:00:00,,116.51,[HDB] Continuation and finalization of MES implementation
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Jordan Palmer,137.81,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Kendall Davies,137.81,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Finley Jensen,118.13,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,,118.13,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,,118.13,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Riley Lambert,111.56,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,,111.56,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Taylor Irving,111.56,[MBC] - Momentum 4 Chocolate
PP108_20127,2023-01-01 00:00:00,2023-12-31 00:00:00,Jamie Reed,111.56,[MBC] - Momentum 4 Chocolate
